forecast_date,day_name,is_weekend,cluster,cluster_enc,day_of_week,week,avg_priority,peak_hour_frac,rolling_7_mean,rolling_7_std,rolling_7_max,spike_probability,predicted_spike,top_junction,risk_score,risk_tier,center_lat,center_lon,alert_level,recommended_deploy_hour,dispatch_instruction
2024-04-09,Tue,0,310,236,1,15,2.142857142857143,0.14285714285714285,1.5714285714285714,0.7867957924694432,3,0.911,1,No Junction,4.9,🟠 HIGH,13.027606721893491,77.58600732366864,🔴 CRITICAL,6,🚨 DEPLOY 2+ units at 6:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,265,185,1,15,2.8690476190476195,0.11904761904761904,2.0,0.816496580927726,3,0.909,1,No Junction,5.49,🟠 HIGH,12.913767463397692,77.67808541161251,🔴 CRITICAL,23,🚨 DEPLOY 2+ units at 23:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,379,311,1,15,2.0952380952380953,0.09523809523809523,2.142857142857143,1.2149857925879117,4,0.907,1,"BTP177 - Aurobindo Circle, ORR",2.97,🟡 MEDIUM,12.91890434375,77.583662325,🔴 CRITICAL,0,"🚨 DEPLOY 2+ units at 0:00. Tow zone activation. Priority: BTP177 - Aurobindo Circle, ORR"
2024-04-09,Tue,0,214,129,1,15,2.142857142857143,0.14285714285714285,2.142857142857143,1.4638501094227998,5,0.903,1,"BTP117 - 9th Cross, Kanakapura Road",2.97,🟡 MEDIUM,12.90984015625,77.57301098125,🔴 CRITICAL,21,"🚨 DEPLOY 2+ units at 21:00. Tow zone activation. Priority: BTP117 - 9th Cross, Kanakapura Road"
2024-04-09,Tue,0,258,177,1,15,2.7380952380952377,0.2619047619047619,2.142857142857143,0.6900655593423541,3,0.903,1,No Junction,6.7,🟠 HIGH,13.045835333653846,77.75033385673076,🔴 CRITICAL,7,🚨 DEPLOY 2+ units at 7:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,348,277,1,15,2.857142857142857,0.14285714285714285,2.0,1.4142135623730951,4,0.9,1,No Junction,7.03,🔴 CRITICAL,13.015297172930415,77.55513743564664,🔴 CRITICAL,8,🚨 DEPLOY 2+ units at 8:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,536,486,1,15,2.7142857142857144,0.14285714285714285,2.142857142857143,0.6900655593423541,3,0.899,1,No Junction,3.39,🟡 MEDIUM,13.010633589473684,77.53595598421053,🔴 CRITICAL,5,🚨 DEPLOY 2+ units at 5:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,380,313,1,15,2.142857142857143,0.14285714285714285,2.2857142857142856,0.9511897312113419,3,0.897,1,No Junction,2.92,🟡 MEDIUM,12.87160995,77.53893803461538,🔴 CRITICAL,5,🚨 DEPLOY 2+ units at 5:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,236,153,1,15,2.107142857142857,0.10714285714285714,2.142857142857143,1.3451854182690988,4,0.896,1,No Junction,4.97,🟠 HIGH,12.880852268055555,77.64529081805556,🔴 CRITICAL,22,🚨 DEPLOY 2+ units at 22:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,392,326,1,15,2.857142857142857,0.42857142857142855,1.1428571428571428,0.37796447300922725,2,0.896,1,No Junction,4.53,🟠 HIGH,13.055065618181818,77.53463033090908,🔴 CRITICAL,5,🚨 DEPLOY 2+ units at 5:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,268,188,1,15,2.2857142857142856,0.14285714285714285,2.142857142857143,0.8997354108424372,3,0.895,1,No Junction,2.76,🟡 MEDIUM,12.966187728,77.548515872,🔴 CRITICAL,22,🚨 DEPLOY 2+ units at 22:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,406,342,1,15,2.142857142857143,0.14285714285714285,1.8571428571428572,0.8997354108424372,3,0.894,1,No Junction,5.18,🟠 HIGH,12.883601068749998,77.64290444166666,🔴 CRITICAL,22,🚨 DEPLOY 2+ units at 22:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,358,288,1,15,2.1142857142857143,0.1142857142857143,1.5714285714285714,1.5118578920369092,5,0.893,1,No Junction,3.39,🟡 MEDIUM,12.97313236,77.6002892942857,🔴 CRITICAL,6,🚨 DEPLOY 2+ units at 6:00. Tow zone activation. Priority: No Junction
2024-04-09,Tue,0,371,303,1,15,2.4285714285714284,0.42857142857142855,1.1428571428571428,0.37796447300922725,2,0.892,1,BTP121 - KH Circle,5.68,🟠 HIGH,12.951478011111112,77.59056604603175,🔴 CRITICAL,0,🚨 DEPLOY 2+ units at 0:00. Tow zone activation. Priority: BTP121 - KH Circle
2024-04-09,Tue,0,290,213,1,15,2.642857142857143,0.21428571428571427,2.142857142857143,1.2149857925879117,4,0.892,1,No Junction,5.49,🟠 HIGH,12.974821364207337,77.62543291164333,🔴 CRITICAL,6,🚨 DEPLOY 2+ units at 6:00. Tow zone activation. Priority: No Junction
