cluster,forecast_date,day_name,alert_level,spike_probability,top_junction,risk_score,risk_tier,center_lat,center_lon
250,2024-04-09,Tue,🔴 CRITICAL,0.873,"BTP123 - 10th Cross, Wilson Garden",5.8,🟠 HIGH,12.944739723809525,77.59708451785714
289,2024-04-09,Tue,🔴 CRITICAL,0.873,No Junction,5.28,🟠 HIGH,13.058364151071576,77.59316319729975
326,2024-04-09,Tue,🔴 CRITICAL,0.873,No Junction,4.55,🟠 HIGH,13.191939051351351,77.68090851621622
508,2024-04-09,Tue,🔴 CRITICAL,0.873,No Junction,2.65,🟡 MEDIUM,12.921682453234212,77.66792372538269
78,2024-04-09,Tue,🔴 CRITICAL,0.872,No Junction,3.12,🟡 MEDIUM,12.911932183018868,77.6516151754717
473,2024-04-09,Tue,🔴 CRITICAL,0.872,No Junction,3.27,🟡 MEDIUM,13.058456661290323,77.54610555806451
688,2024-04-09,Tue,🔴 CRITICAL,0.872,No Junction,3.66,🟡 MEDIUM,12.85764155673928,77.58897488495136
133,2024-04-09,Tue,🔴 CRITICAL,0.871,BTP220 - Puttanna Junction,4.92,🟠 HIGH,12.92939044368932,77.58381491067962
376,2024-04-09,Tue,🔴 CRITICAL,0.871,No Junction,5.64,🟠 HIGH,12.89434402007266,77.65719574162623
366,2024-04-09,Tue,🔴 CRITICAL,0.867,No Junction,4.03,🟠 HIGH,12.979363473076925,77.75136613076923
221,2024-04-09,Tue,🔴 CRITICAL,0.866,No Junction,3.84,🟡 MEDIUM,12.925154192307692,77.63457834615384
297,2024-04-09,Tue,🔴 CRITICAL,0.866,No Junction,5.97,🟠 HIGH,12.93656452437777,77.7038698004659
488,2024-04-09,Tue,🔴 CRITICAL,0.866,No Junction,5.18,🟠 HIGH,13.071065265,77.59250248500001
524,2024-04-09,Tue,🔴 CRITICAL,0.866,No Junction,4.22,🟠 HIGH,12.874157881818183,77.54087755909092
559,2024-04-09,Tue,🔴 CRITICAL,0.866,No Junction,2.07,🟡 MEDIUM,12.919282976470589,77.65170548235294
166,2024-04-09,Tue,🔴 CRITICAL,0.865,No Junction,5.37,🟠 HIGH,13.008480470731708,77.54300357902439
69,2024-04-09,Tue,🔴 CRITICAL,0.864,No Junction,6.26,🟠 HIGH,12.97160179661017,77.50759296949153
313,2024-04-09,Tue,🔴 CRITICAL,0.864,BTP122 - Siddapura Junction,5.16,🟠 HIGH,12.94715012027027,77.59077726486487
535,2024-04-09,Tue,🔴 CRITICAL,0.864,No Junction,3.92,🟡 MEDIUM,12.97501874032258,77.60415116451613
629,2024-04-09,Tue,🔴 CRITICAL,0.864,No Junction,2.44,🟡 MEDIUM,13.00453374090909,77.71007133636364
37,2024-04-09,Tue,🔴 CRITICAL,0.863,No Junction,5.43,🟠 HIGH,12.906832711369612,77.6966449075745
420,2024-04-09,Tue,🔴 CRITICAL,0.863,BTP091 - Sirsi Circle,5.91,🟠 HIGH,12.963026034375,77.55949089375
446,2024-04-09,Tue,🔴 CRITICAL,0.863,BTP203 - RRMR Junction,5.71,🟠 HIGH,12.96722365,77.59434389615384
472,2024-04-09,Tue,🔴 CRITICAL,0.863,No Junction,5.24,🟠 HIGH,13.050215884745764,77.4945259118644
677,2024-04-09,Tue,🔴 CRITICAL,0.863,No Junction,1.49,🟢 LOW,12.92312046875,77.671035725
67,2024-04-09,Tue,🔴 CRITICAL,0.862,BTP211 - Central Street Junction,5.72,🟠 HIGH,12.979484012372568,77.60361091357143
338,2024-04-09,Tue,🔴 CRITICAL,0.862,BTP051 - Safina Plaza Junction,5.63,🟠 HIGH,12.980028045779012,77.60544989090687
188,2024-04-09,Tue,🔴 CRITICAL,0.861,No Junction,4.15,🟠 HIGH,12.966969231818185,77.54734344772727
190,2024-04-09,Tue,🔴 CRITICAL,0.861,No Junction,3.92,🟡 MEDIUM,12.919558335849056,77.64508539622642
325,2024-04-09,Tue,🔴 CRITICAL,0.861,No Junction,3.2,🟡 MEDIUM,13.007179169230769,77.59247286153847
694,2024-04-09,Tue,🔴 CRITICAL,0.861,No Junction,2.63,🟡 MEDIUM,13.02133607777778,77.63894145555555
218,2024-04-09,Tue,🔴 CRITICAL,0.858,BTP196 - Sarakki Main Road,6.44,🟠 HIGH,12.910905418181818,77.57826014242424
341,2024-04-09,Tue,🔴 CRITICAL,0.858,BTP057 - Anand Rao Junction,5.59,🟠 HIGH,12.978484091304349,77.57236633913043
361,2024-04-09,Tue,🔴 CRITICAL,0.858,No Junction,6.0,🟠 HIGH,12.937151908461535,77.62711259865385
399,2024-04-09,Tue,🔴 CRITICAL,0.857,No Junction,4.41,🟠 HIGH,12.91700245263158,77.62915876842105
692,2024-04-09,Tue,🔴 CRITICAL,0.857,No Junction,1.62,🟢 LOW,13.020452770588236,77.6566628647059
194,2024-04-09,Tue,🔴 CRITICAL,0.856,BTP010 - Rajajinagar Entrance,7.46,🔴 CRITICAL,12.980726698474536,77.55820899319681
26,2024-04-09,Tue,🔴 CRITICAL,0.855,No Junction,3.98,🟡 MEDIUM,13.010765704166666,77.50674338750001
526,2024-04-09,Tue,🔴 CRITICAL,0.854,No Junction,2.48,🟡 MEDIUM,12.993249729411763,77.57020162941177
47,2024-04-09,Tue,🔴 CRITICAL,0.853,No Junction,5.59,🟠 HIGH,12.959568845373738,77.64507165864156
137,2024-04-09,Tue,🔴 CRITICAL,0.852,BTP042 - Minsk Square Junction (CTO),6.09,🟠 HIGH,12.98129579944134,77.5985518916201
153,2024-04-09,Tue,🔴 CRITICAL,0.852,No Junction,5.95,🟠 HIGH,12.896647017058823,77.72004948235295
204,2024-04-09,Tue,🔴 CRITICAL,0.852,BTP172 - Nanjappa Circle,5.47,🟠 HIGH,12.960440330882353,77.60155917794117
594,2024-04-09,Tue,🔴 CRITICAL,0.852,BTP076 - Hudson Circle,3.14,🟡 MEDIUM,12.967179773913044,77.58840643913044
427,2024-04-09,Tue,🔴 CRITICAL,0.851,No Junction,4.03,🟠 HIGH,13.001893955357144,77.56933568928571
346,2024-04-09,Tue,🔴 CRITICAL,0.85,No Junction,4.4,🟠 HIGH,13.009374106741571,77.69305326404495
145,2024-04-09,Tue,🔴 CRITICAL,0.848,No Junction,4.68,🟠 HIGH,13.054967438709678,77.50761416559139
